Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,Energy/Nutritional Drinks,Fortify Plus Vanilla Nutrition Shake,350,13.0,11.0,50.0,200.0,52.0,99.0,351.0,0.28205128205128205,0.5698005698005698,0.14814814814814814,https://www.calorieking.com/us/en/foods/f/calories-in-energynutritional-drinks-fortify-plus-vanilla-nutrition-shake/OY5_WWAuSiqCxpBltk48HA
Food Lion,Soups,"Chicken & Stars Condensed Soup, canned",70,3.0,2.0,10.0,40.0,12.0,18.0,70.0,0.2571428571428571,0.5714285714285714,0.17142857142857143,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chicken-stars-condensed-soup-canned/-08m-Hs7StyoMwOH485PPg
Food Lion,Frozen Meals,"Chicken Sandwich, Hot & Spicy",420,18.0,15.0,53.0,212.0,72.0,135.0,419.0,0.3221957040572792,0.5059665871121718,0.1718377088305489,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-chicken-sandwich-hot-spicy/hjywDj2yRaqzGphTkYL9XQ
Food Lion,Frozen Pizzas,"Bake & Rise Crust Pizza, Pepperoni",320,13.0,12.0,40.0,160.0,52.0,108.0,320.0,0.3375,0.5,0.1625,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-bake-rise-crust-pizza-pepperoni/wiuTri5PSYaNOK-CLsJFFA
Food Lion,Soups,Condensed Chicken Noodle Soup,60,3.0,2.0,9.0,36.0,12.0,18.0,66.0,0.2727272727272727,0.5454545454545454,0.18181818181818182,https://www.calorieking.com/us/en/foods/f/calories-in-soups-condensed-chicken-noodle-soup/YQvaVuERRFmi2sFFvYvl9w
Food Lion,Packaged Meals,Deluxe Shells & Cheddar Dinner With Cheddar Cheese Sauce,370,11.0,13.0,52.0,208.0,44.0,117.0,369.0,0.3170731707317073,0.5636856368563685,0.11924119241192412,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-deluxe-shells-cheddar-dinner-with-cheddar-cheese-sauce/OyUnRp1jR4qyrnK_5skMrQ
Food Lion,Frozen Pizzas,Microwaveable Crispy Thin Crust Pizza,360,13.0,13.0,49.0,196.0,52.0,117.0,365.0,0.32054794520547947,0.536986301369863,0.14246575342465753,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-microwaveable-crispy-thin-crust-pizza/e2Iiza0dQ3i3_vZGgHvvYg
Food Lion,Milk & Flavored Milk,Chocolate Milk,210,8.0,8.0,27.0,108.0,32.0,72.0,212.0,0.33962264150943394,0.5094339622641509,0.1509433962264151,https://www.calorieking.com/us/en/foods/f/calories-in-milk-flavored-milk-chocolate-milk/sUJA_vCJRfSxPV-DBFw6kw
Food Lion,Frozen Pizzas,Supreme Crispy Thin Crust Pizza,350,10.0,13.0,47.0,188.0,40.0,117.0,345.0,0.3391304347826087,0.5449275362318841,0.11594202898550725,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-supreme-crispy-thin-crust-pizza/3cvo9jTEQvyv2mhtcb8M_A
Food Lion,"Breakfast Cereals, Ready To Eat","Granola, Old-Fashioned Rolled Oats, Protein Oat & Honey",420,20.0,12.0,60.0,240.0,80.0,108.0,428.0,0.2523364485981308,0.5607476635514018,0.18691588785046728,https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-ready-to-eat-granola-old-fashioned-rolled-oats-protein-oat-honey/PPjF5CrOSrCNVJ1gphYfpw
