Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Banquet,Packaged Meals,Homestyle Bakes Cheesy Chicken Alfredo,410,15.0,21.0,40.0,160.0,60.0,189.0,409.0,0.4621026894865526,0.39119804400978,0.1466992665036675,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-homestyle-bakes-cheesy-chicken-alfredo/NN09Jb9cSemBAFpnXvJ_qw
Banquet,Frozen Meals,"Chicken Fingers Dinner, frozen",479,17.0,21.0,56.0,224.0,68.0,189.0,481.0,0.39293139293139295,0.4656964656964657,0.14137214137214138,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-chicken-fingers-dinner-frozen/yJkVmy99TcylUJ4wiHMvLw
Banquet,Frozen Meals,"Original Fried Chicken, frozen",330,24.0,21.0,12.0,48.0,96.0,189.0,333.0,0.5675675675675675,0.14414414414414414,0.2882882882882883,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-original-fried-chicken-frozen/gLKBScoJRdeEVqnwsseExA
Taco Bell,Burritos,Vegetarian Cheesy Bean & Rice Burrito,410,10.0,16.0,56.0,224.0,40.0,144.0,408.0,0.35294117647058826,0.5490196078431373,0.09803921568627451,https://www.calorieking.com/us/en/foods/f/calories-in-burritos-vegetarian-cheesy-bean-rice-burrito/_va-CF8rQPGd5MqHbklv8Q
Panera Bread,Salads,"Green Goddess Cobb Salad, with Chicken & Green Goddess Dressing",550,42.0,33.0,24.0,96.0,168.0,297.0,561.0,0.5294117647058824,0.1711229946524064,0.2994652406417112,https://www.calorieking.com/us/en/foods/f/calories-in-salads-green-goddess-cobb-salad-with-chicken-green-goddess-dressing/7IuHeueSQTu_ImvZwHsDMg
Panera Bread,Soups & Chilis,"Broccoli Cheddar Soup, bowl",360,14.0,21.0,30.0,120.0,56.0,189.0,365.0,0.5178082191780822,0.3287671232876712,0.15342465753424658,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chilis-broccoli-cheddar-soup-bowl/0oc3p6V9Q-ybR736OkJZGQ
Panera Bread,Bakery,French Baguette,126,4.2,0.4,24.3,97.2,16.8,3.6,117.6,0.030612244897959186,0.826530612244898,0.14285714285714288,https://www.calorieking.com/us/en/foods/f/calories-in-bakery-french-baguette/VIMGYo28Q2exccJdXEkI7A
Panera Bread,Bakery,Cinnamon Crunch Bagel,430,10.0,7.0,82.0,328.0,40.0,63.0,431.0,0.14617169373549885,0.7610208816705336,0.09280742459396751,https://www.calorieking.com/us/en/foods/f/calories-in-bakery-cinnamon-crunch-bagel/6hZ6hxDDSdi5dixEazcPSw
Panera Bread,Soups & Chilis,"Bistro French Onion Soup, bowl",310,12.0,13.0,35.0,140.0,48.0,117.0,305.0,0.3836065573770492,0.45901639344262296,0.15737704918032788,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chilis-bistro-french-onion-soup-bowl/dy_8El8VTuuKz9bIXf5zKQ
Kroger,Yogurts,"Carbmaster, Average All Flavors",80,12.0,1.5,4.0,16.0,48.0,13.5,77.5,0.17419354838709677,0.2064516129032258,0.6193548387096774,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-carbmaster-average-all-flavors/qHIPjTyJSV6Vh371aViyKw
Kroger,Fish,Cooked Cocktail Shrimp Tail Off,80,18.0,1.0,0.0,0.0,72.0,9.0,81.0,0.1111111111111111,0.0,0.8888888888888888,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-cocktail-shrimp-tail-off/m9Z4LbAuQ-GQr2WMT3bVXg
Kroger,Deli & Luncheon Meat,Sliced Pepperoni,140,6.0,13.0,0.0,0.0,24.0,117.0,141.0,0.8297872340425532,0.0,0.1702127659574468,https://www.calorieking.com/us/en/foods/f/calories-in-deli-luncheon-meat-sliced-pepperoni/egTJmTtVTny08M-ylM_iGA
Kroger,Cheese,Colby Jack Cheese Slices,80,5.0,6.0,0.0,0.0,20.0,54.0,74.0,0.7297297297297297,0.0,0.2702702702702703,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-colby-jack-cheese-slices/nyaGGRHdTtaSn8ZekENJwA
Kroger,Milk & Flavored Milk,"Carbmaster, Original Ultra-Filtered Nonfat Milk, Lactose Free",60,11.0,0.0,3.0,12.0,44.0,0.0,56.0,0.0,0.21428571428571427,0.7857142857142857,https://www.calorieking.com/us/en/foods/f/calories-in-milk-flavored-milk-carbmaster-original-ultra-filtered-nonfat-milk-lactose-free/ZNxy4TngTCOVawngYNTwsg
Kroger,Crackers,"Saltines, Original",60,1.0,1.5,10.0,40.0,4.0,13.5,57.5,0.23478260869565218,0.6956521739130435,0.06956521739130435,https://www.calorieking.com/us/en/foods/f/calories-in-crackers-saltines-original/ae1Ru7uGTB61QswE7H8vww
Kroger,Fish,New England Style Stuffed Clams,130,6.0,6.0,15.0,60.0,24.0,54.0,138.0,0.391304347826087,0.43478260869565216,0.17391304347826086,https://www.calorieking.com/us/en/foods/f/calories-in-fish-new-england-style-stuffed-clams/Bolc1V6kRRymq2kuioLwUw
Kroger,Fish,Oven Ready Breaded Popcorn Shrimp,210,8.0,10.0,22.0,88.0,32.0,90.0,210.0,0.42857142857142855,0.41904761904761906,0.1523809523809524,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-popcorn-shrimp/RL_6zLsjRGSDyKlhKpRFXQ
Kroger,Fish,Raw White Shrimp,120,23.0,2.0,1.0,4.0,92.0,18.0,114.0,0.15789473684210525,0.03508771929824561,0.8070175438596491,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-white-shrimp/3HOgTsWHQmCZG9YOl2sN8A
Kroger,Cream,"Sour Cream, Reduced-Fat",45,1.0,3.5,2.0,8.0,4.0,31.5,43.5,0.7241379310344828,0.1839080459770115,0.09195402298850575,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-reduced-fat/pHNGy1tPQIiey5NHwbPUoA
Kroger,Cookies,Vanilla Wafers,130,1.0,3.5,23.0,92.0,4.0,31.5,127.5,0.24705882352941178,0.7215686274509804,0.03137254901960784,https://www.calorieking.com/us/en/foods/f/calories-in-cookies-vanilla-wafers/g00wSeSbRH-GBc2cIpTL4Q
Kroger,Fish,Oven Ready Breaded Calamari Rings,200,7.0,11.0,19.0,76.0,28.0,99.0,203.0,0.4876847290640394,0.37438423645320196,0.13793103448275862,https://www.calorieking.com/us/en/foods/f/calories-in-fish-oven-ready-breaded-calamari-rings/i6-eJrRURm2_Pe5OM6pEZQ
Kroger,Fish,Raw Flounder Fillets,90,19.0,1.5,0.0,0.0,76.0,13.5,89.5,0.15083798882681565,0.0,0.8491620111731844,https://www.calorieking.com/us/en/foods/f/calories-in-fish-raw-flounder-fillets/j8sCLPj0TaK0IlxGEKsQRQ
Kroger,Frozen Meals,"Homestyle, Mashed Potatoes",280,6.0,14.0,36.0,144.0,24.0,126.0,294.0,0.42857142857142855,0.4897959183673469,0.08163265306122448,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-homestyle-mashed-potatoes/5NvBqirqTPefgaDkvhHUhw
Kroger,Cheese,"Cheddar Mild, shredded",110,7.0,9.0,0.5,2.0,28.0,81.0,111.0,0.7297297297297297,0.018018018018018018,0.25225225225225223,https://www.calorieking.com/us/en/foods/f/calories-in-cheese-cheddar-mild-shredded/6QdLObr9TriLsCSataGnRw
Kroger,Fish,Cooked Cocktail Shrimp Tail-On,80,18.0,1.0,0.0,0.0,72.0,9.0,81.0,0.1111111111111111,0.0,0.8888888888888888,https://www.calorieking.com/us/en/foods/f/calories-in-fish-cooked-cocktail-shrimp-tail-on/8TZKqmNXS9mdZZkMyEKD2A
Kroger,Cream,"Sour Cream, Original",60,1.0,5.0,2.0,8.0,4.0,45.0,57.0,0.7894736842105263,0.14035087719298245,0.07017543859649122,https://www.calorieking.com/us/en/foods/f/calories-in-cream-sour-cream-original/vVF3NlkFROKnDkF963n6hA
