Participant ID,IMEI Number,DiAs EZOI Number,THING-ID
77101,3.53626E+14,,DSS2-77101-353626070749234
77102,3.53626E+14,N5X_099,DSS2-77102-353626070751297
77103,3.55592E+14,N5X_048,DSS2-77103-355592070223380
77104,3.53626E+14,N5X_111,DSS2-77104-353626070750620
77105,3.53626E+14,N5X_107,DSS2-77105-353626070751248
77107,3.53626E+14,N5X_117,DSS2-77107-353626070754671
77108,3.53626E+14,N5X_110,DSS2-77108-353626070749895
77109,3.53627E+14,N5X_046,DSS2-77109-353627079602689
77110,3.53626E+14,N5X_114,DSS2-77110-353626070755298
77111,3.53626E+14,N5X_081,DSS2-77111-353626070748897
77112,3.53627E+14,N5X_023,DSS2-77112-353627071177953
77113,3.53627E+14,N5X_025,DSS2-77113-353627072203055
77115,3.53626E+14,N5X_037,DSS2-77115-353626071342229
77117,3.53626E+14,N5X_105,DSS2-77117-353626070755249
77119,3.53626E+14,N5X_118,DSS2-77119-353626070755223
77121,3.53626E+14,N5X_010,DSS2-77121-353626077547433
77124,3.53626E+14,N5X_074,DSS2-77124-353626070749358
77123,3.53626E+14,N5X_012,DSS2-77123-353626074747945
77125,3.53626E+14,N5X_011,DSS2-77125-353626074539748
77118,3.53626E+14,N5X_077,DSS2-77118-353626070749317
77106,3.53626E+14,N5X_112,DSS2-77106-353626070754655
