subject_id,thing_id,step_function,cloud_watch_rule,cron_expression,schedule,status,input,description
77101,DSS2-77101-353626070749234,Calculate_Engagement_Metric,DSS2_77101_Engagement_Metric_Schedule,30 5 * * ? *,Every day 5:30 GMT,DISABLED,"{""thing_id"":""DSS2-77101-353626070749234"", ""subject_id"":""77101""}",thing_id:DSS2-77101-353626070749234 ; Schedule: 05:30 GMT -  00:30 EST - 01:30 EDT ; Dynamo DB data-type 'engagement_metric'
77101,DSS2-77101-353626070749234,PredictAdvisoryParams,DSS2_77101_Advisory_Parameter_Schedule,30 6 * * ? *,Every day 6:30 GMT,DISABLED,"{""thing_id"":""DSS2-77101-353626070749234"",""subject_id"":""77101""}",thing_id:DSS2-77101-353626070749234 ; Schedule: 06:30 GMT - 01:30 EST - 2:30 EDT  ; Dynamo DB data-type 'advisory'
77101,DSS2-77101-353626070749234,Create_Daily_Basal_Profile,DSS2_77101_Daily_Basal_Schedule,0 15 * * ? *,Every day 15:00 GMT,DISABLED,"{""thing_id"":""DSS2-77101-353626070749234"", ""subject_id"": ""77101"", ""request_length"": 2580, ""request_interval"": 5 }",thing_id:DSS2-77101-353626070749234 ; Schedule: 15:00 GMT - 10:00 EST - 11:00 EDT ; Dynamo DB data-type 'dailyoptbasal'
77101,DSS2-77101-353626070749234,Create_Daily_SI_Params,DSS2_77101_Daily_SIParams_Schedule,20 15 * * ? *,Every day 15:20 GMT,DISABLED,"{""thing_id"":""DSS2-77101-353626070749234"", ""subject_id"": ""77101"", ""request_length"": 2600, ""request_interval"": 5 }",thing_id:DSS2-77101-353626070749234 ; Schedule: 15:20 GMT - 10:20 EST - 11:20 EDT ; Dynamo DB data-type 'dailysiparams'
77101,DSS2-77101-353626070749234,Create_Daily_BasalCrCf_Profile,DSS2_77101_Profile_Parameter_Schedule,0 13 ? Jan-June FRI 2021,Every Friday 13:00 GMT,DISABLED,"{""thing_id"":""DSS2-77101-353626070749234"", ""subject_id"": ""77101"", ""request_length"": 41340, ""request_interval"": 5 }",thing_id:DSS2-77101-353626070749234 ; Schedule: Every FRIDAY 13:00 GMT - 08:00 EST - 09:00 EDT ; Dynamo DB data-type 'profile'
77102,DSS2-77102-353626070751297,Calculate_Engagement_Metric,DSS2_77102_Engagement_Metric_Schedule,32 5 * * ? *,Every day 5:32 GMT,ENABLED,"{""thing_id"":""DSS2-77102-353626070751297"", ""subject_id"":""77102""}",thing_id:DSS2-77102-353626070751297 ; Schedule: 05:32 GMT -  00:32 EST - 01:32 EDT ; Dynamo DB data-type 'engagement_metric'
77102,DSS2-77102-353626070751297,PredictAdvisoryParams,DSS2_77102_Advisory_Parameter_Schedule,45 6 * * ? *,Every day 6:45 GMT,ENABLED,"{""thing_id"":""DSS2-77102-353626070751297"", ""subject_id"":""77102""}",thing_id:DSS2-77102-353626070751297 ; Schedule: 06:45 GMT - 01:45 EST - 2:45 EDT  ; Dynamo DB data-type 'advisory'
77102,DSS2-77102-353626070751297,Create_Daily_Basal_Profile,DSS2_77102_Daily_Basal_Schedule,30 15 * * ? *,Every day 15:30 GMT,ENABLED,"{""thing_id"":""DSS2-77102-353626070751297"", ""subject_id"": ""77102"", ""request_length"": 2610, ""request_interval"": 5 }",thing_id:DSS2-77102-353626070751297 ; Schedule: 15:30 GMT - 10:30 EST - 11:30 EDT ; Dynamo DB data-type 'dailyoptbasal'
77102,DSS2-77102-353626070751297,Create_Daily_SI_Params,DSS2_77102_Daily_SIParams_Schedule,50 15 * * ? *,Every day 15:50 GMT,ENABLED,"{""thing_id"":""DSS2-77102-353626070751297"", ""subject_id"": ""77102"", ""request_length"": 2630, ""request_interval"": 5 }",thing_id:DSS2-77102-353626070751297 ; Schedule: 15:50 GMT - 10:50 EST - 11:50 EDT ; Dynamo DB data-type 'dailysiparams'
77102,DSS2-77102-353626070751297,Create_Daily_BasalCrCf_Profile,DSS2_77102_Profile_Parameter_Schedule,0 14 ? Jan-June SUN 2021,Every Monday 14:00 GMT,ENABLED,"{""thing_id"":""DSS2-77102-353626070751297"", ""subject_id"": ""77102"", ""request_length"": 41400, ""request_interval"": 5 }",thing_id:DSS2-77102-353626070751297 ; Schedule: Every SUNDAY 14:00 GMT - 9:00 EST - 10:00 EDT ; Dynamo DB data-type 'profile' 
